iter	Passed	Remaining
156	377	2028
157	380	2028
158	382	2025
159	384	2017
160	385	2006
161	385	1994
162	387	1987
163	388	1978
164	389	1971
165	390	1962
166	392	1955
167	394	1955
168	396	1951
169	400	1953
170	401	1947
171	402	1938
172	403	1930
173	404	1920
174	405	1913
175	407	1909
176	410	1910
177	412	1905
178	413	1898
179	415	1892
180	416	1883
181	417	1876
182	418	1868
183	419	1861
184	420	1851
185	421	1844
186	424	1843
187	426	1844
188	429	1844
189	431	1838
190	432	1831
191	433	1824
192	434	1814
193	435	1808
194	435	1799
195	436	1790
196	437	1783
197	442	1792
198	444	1787
199	444	1779
200	446	1773
201	447	1767
202	448	1760
203	449	1753
204	450	1747
205	451	1739
206	452	1733
207	456	1736
208	458	1735
209	459	1729
210	461	1724
211	462	1718
212	463	1710
213	464	1705
214	465	1698
215	465	1691
216	468	1689
217	469	1682
218	470	1679
219	472	1675
220	474	1670
221	474	1664
222	475	1658
223	477	1653
224	477	1646
225	478	1639
226	479	1632
227	480	1627
228	482	1623
229	483	1619
230	487	1621
231	487	1614
232	488	1608
233	489	1602
234	491	1598
235	491	1592
236	492	1586
237	493	1581
238	494	1574
239	495	1570
240	498	1569
241	499	1564
242	500	1558
243	501	1555
244	502	1549
245	504	1545
246	505	1540
247	505	1534
248	506	1527
249	507	1521
250	508	1516
251	509	1512
252	510	1506
253	511	1502
254	512	1497
255	514	1493
256	515	1490
257	516	1484
258	516	1479
259	517	1473
260	519	1469
261	520	1466
262	521	1460
263	521	1454
264	522	1450
265	524	1446
266	525	1441
267	525	1435
268	526	1431
269	528	1427
270	528	1422
271	530	1418
272	530	1412
273	531	1408
274	533	1406
275	534	1402
276	536	1399
277	537	1397
278	539	1393
279	540	1389
280	541	1386
281	542	1381
282	544	1378
283	544	1373
284	546	1370
285	548	1369
286	550	1366
287	551	1363
288	552	1359
289	553	1354
290	554	1350
291	555	1347
292	556	1342
293	557	1339
294	558	1335
295	559	1330
296	560	1325
297	561	1323
298	563	1321
299	564	1318
300	566	1314
301	567	1311
302	568	1308
303	569	1303
304	569	1298
305	570	1294
306	572	1291
307	573	1288
308	574	1284
309	574	1279
310	575	1275
311	577	1273
312	578	1269
313	579	1266
314	580	1262
315	581	1258
316	582	1255
317	584	1252
318	585	1249
319	586	1246
320	587	1243
321	588	1240
322	590	1236
323	591	1233
324	593	1232
325	594	1229
326	596	1226
327	597	1223
328	598	1220
329	599	1217
330	600	1214
331	602	1211
332	603	1208
333	604	1205
334	605	1202
335	606	1199
336	608	1197
337	609	1194
338	611	1191
339	612	1188
340	613	1185
341	614	1182
342	615	1178
343	616	1175
344	617	1172
345	618	1169
346	620	1166
347	621	1163
348	623	1162
349	624	1159
350	625	1156
351	626	1153
352	627	1149
353	628	1146
354	629	1144
355	631	1141
356	632	1138
357	633	1135
358	634	1132
359	635	1129
360	636	1126
361	638	1125
362	639	1122
363	641	1120
364	642	1117
365	643	1114
366	644	1111
367	645	1108
368	646	1106
369	647	1103
370	649	1100
371	650	1097
372	651	1095
373	653	1093
374	654	1091
375	656	1089
376	657	1086
377	659	1084
378	660	1081
379	661	1079
380	663	1077
381	664	1075
382	666	1072
383	667	1071
384	670	1071
385	672	1070
386	674	1067
387	675	1065
388	676	1063
389	677	1060
390	679	1058
391	680	1055
392	682	1054
393	684	1052
394	685	1049
395	686	1047
396	687	1044
397	689	1042
398	690	1040
399	692	1038
400	693	1036
401	695	1033
402	696	1031
403	699	1031
404	701	1031
405	703	1029
406	704	1027
407	706	1024
408	707	1022
409	708	1019
410	710	1017
411	711	1015
412	713	1014
413	716	1013
414	718	1012
415	719	1009
416	720	1007
417	721	1004
418	722	1002
419	724	999
420	725	997
421	726	995
422	728	994
423	731	994
424	733	992
425	734	990
426	736	987
427	737	985
428	738	982
429	739	980
430	740	977
431	742	976
432	745	975
433	747	974
434	748	972
435	750	970
436	751	968
437	752	966
438	754	963
439	755	961
440	758	960
441	760	959
442	761	958
443	763	955
444	764	953
445	765	950
446	766	948
447	768	946
448	769	943
449	770	941
450	772	940
451	775	940
452	778	939
453	779	937
454	780	935
455	781	932
456	782	930
457	784	927
458	785	925
459	787	924
460	790	923
